id,model_provider,situation,context,generated_question,processing_time_seconds,timestamp,success
0,gemini,I hate my job but I am scared to quit and seek a new career.,seeker: Hello,"It sounds like you're feeling really stuck right now. Can you tell me a little more about what specifically you dislike about your current job, and what makes you feel scared about exploring a new career path?",1.04,2025-06-08T20:40:35.450318,True
1,gemini,I hate my job but I am scared to quit and seek a new career.,"seeker: Hello | supporter: Hello, what would you like to talk about? | seeker: I am having a lot of anxiety about quitting my current job. It is too stressful but pays well","It sounds like you're in a tough spot, feeling trapped between a job you dislike and the security it provides. Can you tell me more about what specifically makes you feel anxious about quitting?",0.59,2025-06-08T20:40:36.543052,True
2,gemini,I hate my job but I am scared to quit and seek a new career.,"seeker: Hello | supporter: Hello, what would you like to talk about? | seeker: I am having a lot of anxiety about quitting my current job. It is too stressful but pays well | supporter: What makes your job stressful for you? | seeker: I have to deal with many people in hard financial situations and it is upsetting","It sounds like you're carrying a heavy emotional load from your job, dealing with people in difficult financial situations. It's completely understandable that this would be upsetting. Can you tell me more about how this emotional toll impacts you outside of work?",0.99,2025-06-08T20:40:38.033763,True
3,gemini,I hate my job but I am scared to quit and seek a new career.,"supporter: Do you help your clients to make it to a better financial situation? | seeker: I do, but often they are not going to get back to what they want. Many people are going to lose their home when safeguards are lifted | supporter: But you offer them a better future than what they have currently. It may not be what they wanted, but it helps them in the long run. | seeker: That is true but sometimes I feel like I should put my feelings and health first | supporter: I can understand that.",It sounds like you're feeling torn between the desire to prioritize your own well-being and the responsibility you feel towards your clients. Can you tell me more about what specifically makes you feel like you should put your feelings and health first?,0.72,2025-06-08T20:40:39.261732,True
4,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,,It sounds incredibly disheartening to feel like you don't have the support you need from your friends. Can you tell me a bit more about what makes you feel like you don't have friends anymore? What specific things have happened or what behaviors have you noticed that have led you to feel this way?,0.91,2025-06-08T20:40:40.671716,True
5,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,supporter: Hello how are you? | seeker: hello im looking for someone to talk to | seeker: im fine how are you,It sounds like you're feeling pretty isolated and alone right now. Can you tell me a little more about what makes you feel like your friends aren't supportive?,0.66,2025-06-08T20:40:41.836727,True
6,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: im fine how are you | supporter: I'm doing ok I'm glad you are good. Is it snowing by you? | supporter: Merry Christmas! | seeker: thats great and no its not snowing its very cold thow | seeker: merry christmas to you also,It sounds like you're feeling quite isolated and alone right now. Can you tell me a bit more about what makes you feel like your friends aren't supportive?,0.71,2025-06-08T20:40:43.050303,True
7,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: merry christmas to you also | supporter: How can I help you today? | seeker: im having some issues with friends not actually being friends | supporter: I hear you are having trouble figuring out which friends are really your friends and which ones aren't. Is that about right? | seeker: yes,It sounds incredibly isolating when you feel like your friends aren't truly there for you. Can you tell me a bit more about what makes you feel like they aren't being supportive?,0.73,2025-06-08T20:40:44.285367,True
8,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: im having some issues with friends not actually being friends | supporter: I hear you are having trouble figuring out which friends are really your friends and which ones aren't. Is that about right? | seeker: yes | supporter: I understand that... Did something happen that makes you feel like that? | seeker: yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc,"That sounds incredibly isolating. It's understandable that you'd feel like you don't have friends anymore when you're not getting any communication back. How does this lack of interaction make you feel, specifically?",0.64,2025-06-08T20:40:45.433989,True
9,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: yes | supporter: I understand that... Did something happen that makes you feel like that? | seeker: yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc | supporter: Is this a significant other? | seeker: no friends,It sounds incredibly isolating to feel like your friends aren't reaching out. Can you tell me more about how that lack of communication impacts you emotionally?,0.58,2025-06-08T20:40:46.559359,True
10,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc | supporter: Is this a significant other? | seeker: no friends | supporter: Are they ignoring you? | seeker: when we where younger we all hung out all the time now that we are older its like they talk with each other im not sure if i did anything or not,"It sounds incredibly isolating to feel like your friends have drifted away, especially when you used to be so close. You mentioned wondering if you did something wrong. Can you tell me more about what thoughts and feelings come up for you when you consider that possibility?",0.85,2025-06-08T20:40:47.915893,True
11,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: when we where younger we all hung out all the time now that we are older its like they talk with each other im not sure if i did anything or not | supporter: Are you sure they are okay? Or not away with family for the holidays? | seeker: it doesnt matter they still keep open communication with each other | supporter: That's no good what do you think the problem is? | seeker: I believe its because I am the friend that has financial trouble and normally needs to borrow money,"It sounds incredibly frustrating to feel excluded and like your financial situation might be impacting your friendships. Can you tell me more about how that makes you feel when you notice them communicating with each other, but not with you?",0.66,2025-06-08T20:40:49.079736,True
12,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,"seeker: no im not currently | seeker: I also think sometimes to myself that they don't answer because they think I'm asking for money | supporter: I see, Have you tried for unemployment? | seeker: yes i dont qualify | supporter: I understand that. What if that is the case? You may need to talk to them and let them know how you feel about that.","It sounds incredibly frustrating to feel like your friends aren't there for you, and that you might not even have friends anymore.  When you think about the times you've reached out, what specific feelings come up for you when they don't respond or you feel like they might be avoiding you?",0.95,2025-06-08T20:40:50.536203,True
13,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,supporter: Well I can see that you have put the effort in to try and keep the relationship so it sounds like the ball is in their court if they want to do the same. | seeker: yes | supporter: Well that is about all that can be done and wait for them to come around...Do you have any hobbies? | seeker: yes i like to read and play music | supporter: I like to go on runs every morning. It helps to clear my mind and makes it easier to brush things off when they bother me.,It sounds like you're feeling really isolated and hurt by the lack of support from your friends. Can you tell me more about what it's like to feel like you don't have friends anymore?,0.71,2025-06-08T20:40:51.753162,True
14,gemini,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,supporter: I'm sure they will come around. | seeker: i think i would start off walking i am not in shape to run | seeker: yes i will give them time maybe stop reaching out so much | supporter: That may be a good idea. Good talk | seeker: yes thank you for talking with me and giving great advice,"It sounds like you're feeling really hurt and let down by your friends right now. It's understandable to feel that way when you don't feel supported by the people you thought you could count on. Considering you've decided to give them some space, how are you feeling about that decision?",0.91,2025-06-08T20:40:53.171950,True
15,gemini,I have been out of work for five weeks in quarantine due to testing positive for COVID-19.  I fear that my employer will not take me back to work even once I test negative.,,It sounds incredibly stressful to be facing both the physical challenges of COVID-19 and the uncertainty around your job. I can understand why you'd be worried. Could you tell me more about what specifically makes you fear your employer won't take you back?,0.85,2025-06-08T20:40:54.518920,True
16,gemini,I have been out of work for five weeks in quarantine due to testing positive for COVID-19.  I fear that my employer will not take me back to work even once I test negative.,"supporter: Hi there, how are you feeling today? | seeker: Hello",It sounds like you're carrying a lot of worry about your job right now. Can you tell me more about what specifically makes you think your employer might not take you back?,0.76,2025-06-08T20:40:55.779642,True
17,gemini,I have been out of work for five weeks in quarantine due to testing positive for COVID-19.  I fear that my employer will not take me back to work even once I test negative.,"seeker: I have an advantage because I have a professional background in cooking, so I can take random ingredients and turn them into wonderful and nutritious meals. I just need to have the ingredients. | supporter: That sounds very encouraging! It's amazing what you can make even with cheap food. Noodles , for instance, are very versatile :) | seeker: You are right. I am definitely not going to sit and pout. I am just a bit frustrated with the system. | supporter: It's a very strange situation and I suspect that some of the authorities just feel overwhelmed and have no idea how to cope. | seeker: I am concerned that my boss may try to not take me back at my job. Because this is an ""at will"" state, he can terminate me without cause. Although he can not legally fire me for being ill with COVID, he can take me back and simply release me the same day saying that I have become redundant.","It sounds like you're carrying a lot of worry about your job security, even though you're staying positive and resourceful with your cooking. Can you tell me more about what specific things your boss has done or said that make you feel this way?",0.8,2025-06-08T20:40:57.079535,True
18,gemini,I am depressed staying home due to COVID,,It sounds like being at home during this time has brought on some feelings of depression. Can you tell me a little more about what that feels like for you?,0.6,2025-06-08T20:40:58.189027,True
19,gemini,I am depressed staying home due to COVID,supporter: Hi! How are you doing? | seeker: I am dong good. You?,"It's good to hear you're doing well, even with everything going on. How are you feeling about staying home more these days?",0.59,2025-06-08T20:40:59.284462,True
20,gemini,I am depressed staying home due to COVID,supporter: Hi! How are you doing? | seeker: I am dong good. You? | supporter: I am okay thanks but it is a worrying year. Have you been worrying about anything? | seeker: I have been staying home since last March due to COVID; getting very depressed.,It sounds like staying home for such a long time has been really tough on you. Can you tell me more about what specifically makes you feel depressed about staying home?,0.58,2025-06-08T20:41:00.369831,True
21,gemini,I am depressed staying home due to COVID,"supporter: Sometimes it does just make it easier to know that other people are in the same situation as you :) | seeker: You mean share experiences among the friends? | supporter: Yes .. or at least share coping mechanisms perhaps? | supporter: Do you have any hobbies that you can occupy yourself with right now? | seeker: Yes, I pay musical instruments but do to COVID could not play with the band","It sounds like you're missing playing with your band and the social connection that came with it. How does the absence of that, combined with the isolation of staying home, make you feel?",0.87,2025-06-08T20:41:01.741944,True
22,gemini,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.",,It sounds like you've been through a lot of shock and pain with this discovery. Can you tell me a bit about what emotions are surfacing for you right now as you consider your options?,0.65,2025-06-08T20:41:02.898737,True
23,gemini,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.","supporter: Hello, what is life like for you at the moment? | seeker: Infinitely complicated. | seeker: Too many decisions. I don't know what to do. | supporter: I am sorry to hear that but I am happy to listen and help you if I can",It sounds like you're feeling overwhelmed and uncertain right now. Can you tell me a little more about what specifically is making this decision so difficult for you?,0.85,2025-06-08T20:41:04.247834,True
24,gemini,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.","seeker: My mind agrees. | seeker: My stupid emotions are clouding things. | supporter: Well, if you were to give him an ultimatum what do you think he would say? | seeker: I did. | seeker: LOL","It sounds like you're in a really tough spot, caught between what you know and how you feel. Can you tell me more about what those ""stupid emotions"" are telling you right now?",0.68,2025-06-08T20:41:05.430067,True
25,gemini,"I found out that my boyfriend had been lying to me about his entire life, and so the future that he had said we were building towards was all but impossible. I'm trying to figure out if I should stay with him.","supporter: I can tell that you feel that you are being cheated here. I can't tell you what to do but don't you think you deserve better? | seeker: I guess that's what I'm trying to figure out. Should I give him time to prove himself now that he's backed into a corner. | supporter: It's not for me to say but I wonder if he's really going to change as he has not already. | seeker: That's not an easy question to answer. He treats me very well. Always has. And he is frantically trying to accomodate me, now htat I know. | seeker: I agree with you. It's one of my fears.","It sounds like you're in a really tough spot, grappling with a lot of conflicting feelings. On one hand, you're acknowledging his good treatment of you and his efforts to make amends, and on the other, you're wrestling with the fear that the fundamental issues might not truly change. Can you tell me more about what it feels like to balance those two sides of the situation?",1.0,2025-06-08T20:41:06.931166,True
