id,model_provider,situation,context,generated_question,processing_time_seconds,timestamp,success
0,llama-api,I hate my job but I am scared to quit and seek a new career.,seeker: Hello,"It sounds like you're feeling a bit stuck and uncertain about your current situation. Can you tell me more about what's been going on with your job that's making you feel like you want to quit, and what's holding you back from taking that step?",5.43,2025-06-08T23:31:23.724836,True
1,llama-api,I hate my job but I am scared to quit and seek a new career.,"seeker: Hello | supporter: Hello, what would you like to talk about? | seeker: I am having a lot of anxiety about quitting my current job. It is too stressful but pays well","It sounds like you're feeling stuck between the financial security of your current job and the emotional toll it's taking on you. Can you tell me more about what's holding you back from exploring new career options - is it the fear of uncertainty, financial instability, or something else that's making it hard for you to consider making a change?",5.68,2025-06-08T23:31:29.906566,True
2,llama-api,I hate my job but I am scared to quit and seek a new career.,"seeker: Hello | supporter: Hello, what would you like to talk about? | seeker: I am having a lot of anxiety about quitting my current job. It is too stressful but pays well | supporter: What makes your job stressful for you? | seeker: I have to deal with many people in hard financial situations and it is upsetting","How do you think your life would change if you were able to find a career that was less stressful and more aligned with your emotional well-being, and what are some of the fears that come up for you when you imagine taking that step?",6.58,2025-06-08T23:31:36.987355,True
3,llama-api,I hate my job but I am scared to quit and seek a new career.,"supporter: Do you help your clients to make it to a better financial situation? | seeker: I do, but often they are not going to get back to what they want. Many people are going to lose their home when safeguards are lifted | supporter: But you offer them a better future than what they have currently. It may not be what they wanted, but it helps them in the long run. | seeker: That is true but sometimes I feel like I should put my feelings and health first | supporter: I can understand that.","What are some of the emotions that come up for you when you think about prioritizing your own feelings and health, and how might that relate to your current job situation and the fear of seeking a new career?",3.47,2025-06-08T23:31:40.959383,True
4,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,,"That can be a really isolating and painful experience. Can you tell me more about what's been going on with your friends that's making you feel so unsupported, and how has that been affecting you lately?",5.32,2025-06-08T23:31:46.781516,True
5,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,supporter: Hello how are you? | seeker: hello im looking for someone to talk to | seeker: im fine how are you,"It sounds like you're feeling a bit isolated and unsupported by the people around you. Can you tell me more about what's been going on with your friends that's making you feel like you don't really have any friends anymore, and how has that been affecting you emotionally?",6.06,2025-06-08T23:31:53.338374,True
6,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: im fine how are you | supporter: I'm doing ok I'm glad you are good. Is it snowing by you? | supporter: Merry Christmas! | seeker: thats great and no its not snowing its very cold thow | seeker: merry christmas to you also,"It sounds like you're going through a tough time with your friendships, and I want to make sure I understand what's been going on for you. Can you tell me more about what's making you feel like you don't have supportive friends, and how has that been affecting you lately?",5.23,2025-06-08T23:31:59.074427,True
7,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: merry christmas to you also | supporter: How can I help you today? | seeker: im having some issues with friends not actually being friends | supporter: I hear you are having trouble figuring out which friends are really your friends and which ones aren't. Is that about right? | seeker: yes,"How have you been feeling about yourself and your relationships with these friends lately, and what's been the most painful or challenging part of realizing they might not be as supportive as you thought?",9.91,2025-06-08T23:32:09.493178,True
8,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: im having some issues with friends not actually being friends | supporter: I hear you are having trouble figuring out which friends are really your friends and which ones aren't. Is that about right? | seeker: yes | supporter: I understand that... Did something happen that makes you feel like that? | seeker: yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc,"How have you been feeling about yourself and your worth as a friend, now that you've noticed this lack of communication and interaction from the people you considered friends?",9.97,2025-06-08T23:32:19.969748,True
9,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: yes | supporter: I understand that... Did something happen that makes you feel like that? | seeker: yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc | supporter: Is this a significant other? | seeker: no friends,"How have you been taking care of yourself and coping with the feelings of isolation and disconnection from your friends, and what has been the most challenging part of this experience for you?",7.36,2025-06-08T23:32:27.832552,True
10,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: yes their is no communication or interaction between me and them nobody answers phone calls txt messages etc | supporter: Is this a significant other? | seeker: no friends | supporter: Are they ignoring you? | seeker: when we where younger we all hung out all the time now that we are older its like they talk with each other im not sure if i did anything or not,"How are you feeling about being left out of these interactions and conversations with your friends, and what do you think you might be needing from them in order to feel seen and connected again?",6.45,2025-06-08T23:32:34.792645,True
11,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,seeker: when we where younger we all hung out all the time now that we are older its like they talk with each other im not sure if i did anything or not | supporter: Are you sure they are okay? Or not away with family for the holidays? | seeker: it doesnt matter they still keep open communication with each other | supporter: That's no good what do you think the problem is? | seeker: I believe its because I am the friend that has financial trouble and normally needs to borrow money,"How do you think their apparent distance from you, especially given your financial struggles, has affected your sense of self-worth and overall emotional well-being?",3.08,2025-06-08T23:32:38.374824,True
12,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,"seeker: no im not currently | seeker: I also think sometimes to myself that they don't answer because they think I'm asking for money | supporter: I see, Have you tried for unemployment? | seeker: yes i dont qualify | supporter: I understand that. What if that is the case? You may need to talk to them and let them know how you feel about that.","How have you been feeling about yourself and your worth as a friend, now that you've been experiencing this lack of support and responsiveness from the people you consider friends?",7.71,2025-06-08T23:32:46.586559,True
13,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,supporter: Well I can see that you have put the effort in to try and keep the relationship so it sounds like the ball is in their court if they want to do the same. | seeker: yes | supporter: Well that is about all that can be done and wait for them to come around...Do you have any hobbies? | seeker: yes i like to read and play music | supporter: I like to go on runs every morning. It helps to clear my mind and makes it easier to brush things off when they bother me.,"""How do you think engaging in activities you enjoy, such as reading and playing music, might help you cope with the feelings of not having supportive friends, and are there any specific emotions or needs that you feel are not being met in your current friendships?""",3.37,2025-06-08T23:32:50.460177,True
14,llama-api,I have complete unsupportive friends its to the point where i dont even feel like i have friends any more .,supporter: I'm sure they will come around. | seeker: i think i would start off walking i am not in shape to run | seeker: yes i will give them time maybe stop reaching out so much | supporter: That may be a good idea. Good talk | seeker: yes thank you for talking with me and giving great advice,"How are you feeling about the idea of giving your friends space and potentially distancing yourself from them, and what do you think you might need to feel supported and valued in your relationships?",7.53,2025-06-08T23:32:58.492719,True
15,llama-api,I have been out of work for five weeks in quarantine due to testing positive for COVID-19.  I fear that my employer will not take me back to work even once I test negative.,,"That can be a really uncertain and stressful situation to be in. It sounds like you're feeling a bit anxious about your job security right now. Can you tell me more about what's been going through your mind since you've been in quarantine, and how you've been feeling about the possibility of returning to work?",5.32,2025-06-08T23:33:04.310404,True
16,llama-api,I have been out of work for five weeks in quarantine due to testing positive for COVID-19.  I fear that my employer will not take me back to work even once I test negative.,"supporter: Hi there, how are you feeling today? | seeker: Hello","That can be a really uncertain and stressful time. It sounds like you're feeling a bit anxious about your job situation. Can you tell me more about what's been going through your mind since you've been in quarantine, and how you've been coping with the fear of not being taken back to work?",7.66,2025-06-08T23:33:12.478071,True
17,llama-api,I have been out of work for five weeks in quarantine due to testing positive for COVID-19.  I fear that my employer will not take me back to work even once I test negative.,"seeker: I have an advantage because I have a professional background in cooking, so I can take random ingredients and turn them into wonderful and nutritious meals. I just need to have the ingredients. | supporter: That sounds very encouraging! It's amazing what you can make even with cheap food. Noodles , for instance, are very versatile :) | seeker: You are right. I am definitely not going to sit and pout. I am just a bit frustrated with the system. | supporter: It's a very strange situation and I suspect that some of the authorities just feel overwhelmed and have no idea how to cope. | seeker: I am concerned that my boss may try to not take me back at my job. Because this is an ""at will"" state, he can terminate me without cause. Although he can not legally fire me for being ill with COVID, he can take me back and simply release me the same day saying that I have become redundant.","How are you coping with the uncertainty and fear of potentially losing your job, and what are some emotions that come up for you when you think about the possibility of your employer not taking you back or terminating you after you return?",17.11,2025-06-08T23:33:30.095825,True
18,llama-api,I am depressed staying home due to COVID,,"Counseling Question: ""Can you tell me more about what's been the most challenging part for you about staying home due to COVID, and how you've been taking care of yourself during this time?"" 

(This question acknowledges the client's situation, invites them to share their feelings and experiences, and expresses concern for their well-being, while also exploring potential coping mechanisms.)",1.54,2025-06-08T23:33:32.139157,True
19,llama-api,I am depressed staying home due to COVID,supporter: Hi! How are you doing? | seeker: I am dong good. You?,"It sounds like you're trying to stay positive, but I want to make sure I understand what's really going on for you. Can you tell me more about what it's been like for you to be staying home due to COVID, and how that's been affecting you emotionally?",16.39,2025-06-08T23:33:49.038763,True
20,llama-api,I am depressed staying home due to COVID,supporter: Hi! How are you doing? | seeker: I am dong good. You? | supporter: I am okay thanks but it is a worrying year. Have you been worrying about anything? | seeker: I have been staying home since last March due to COVID; getting very depressed.,"What's been the most challenging part for you about staying home for so long, and how have you been taking care of yourself during this difficult time?",1.43,2025-06-08T23:33:50.979047,True
